epoch;acc;loss;lr;val_acc;val_loss
0;0.656934306569343;0.6862247829995843;1e-04;0.6353322528363047;0.9649502775560902
1;0.7023322058038098;0.6121477312903313;1e-04;0.6547811993517018;0.7937867116889459
2;0.7437689157913477;0.5482994600485839;1e-04;0.7115384615384616;0.6904058001744442
3;0.7813334520206516;0.4859107516086545;1e-04;0.593192868719611;0.9163497489314025
4;0.8051450952465729;0.4423729858620005;1e-04;0.7763371150729336;0.45145176421108274
5;0.8209008367455938;0.41431849754554895;1e-04;0.7086709886547812;0.5482788538044043
6;0.8406177674915435;0.3781106392243631;1e-04;0.8363047001620746;0.3657005818098832
7;0.8473384368880185;0.35664929525695577;1e-04;0.8521069692058347;0.3575762425288196
8;0.8636727790635571;0.3249025488076992;1e-04;0.8411669367909238;0.3939352600172621
9;0.8739095602634859;0.30201493234678545;1e-04;0.729740680713128;0.6700048114669719
10;0.8959815078236131;0.2531127195227706;5e-05;0.916936790923825;0.20376280208859393
11;0.9016378849919886;0.2390351631748776;5e-05;0.9059967585089141;0.2368388659301149
12;0.9092042015310664;0.22717854929618697;5e-05;0.9307131280388979;0.18379032225431075
13;0.9100053409293217;0.21956894974787505;5e-05;0.9019448946515397;0.23975777304527535
14;0.9180612426562221;0.20848168733813105;5e-05;0.9254457050243112;0.18337244655170162
15;0.9282090083674559;0.18460115029789786;2.5e-05;0.9278768233387358;0.17422701454626296
16;0.9276749154352857;0.1850577849673911;2.5e-05;0.9412479740680713;0.14674461840665515
17;0.9315025814491722;0.17570772697827094;2.5e-05;0.9440842787682334;0.1528596800436512
18;0.9328378137795976;0.17552992530685738;2.5e-05;0.9270664505672609;0.1868582013360492
19;0.9343955848317608;0.170286280047815;2.5e-05;0.9351701782820098;0.1665660919352907
